# Word;AdvicedAlternative
# can be used for suggesting a more common word
# TODO: remove doubles
# TODO: remove incorrect spellings after certification of words list
#
aanbestedingsronden;aanbestedingsrondes
aandachtpunt;aandachtspunt
aandachtpunten;aandachtspunten
aandachtpuntje;aandachtspuntje
aandachtpuntjes;aandachtspuntjes
aandachtsvragers;aandachtvragers
aandelenindexen;aandelenindices
aandelenkeuzen;aandelenkeuzes
aandelenuitgiften;aandelenuitgiftes
aandrijfmechanismes;aandrijfmechanismen
aandrijfmotors;aandrijfmotoren
aanhalingtekens;aanhalingstekens
aanhangselen;aanhangsels
aankomstdatums;aankomstdata
aankoopbehoeftes;aankoopbehoeften
aankoopbons;aankoopbonnen
aankoopdatums;aankoopdata
aankoopkeuzen;aankoopkeuzes
aankoopwaardes;aankoopwaarden
aanlegplans;aanlegplannen
aanlegtests;aanlegtesten
aanleverdatums;aanleverdata
aanmeldingsdatums;aanmeldingsdata
aanpassingetjes;aanpassinkjes
aanpassingsmechanismes;aanpassingsmechanismen
aanpassingsslagen;aanpassingslagen
aanraaksensors;aanraaksensoren
aanschaffer;koper
aanschaffers;kopers
aanschafwaardes;aanschafwaarden
aansprakelijkheidsschaden;aansprakelijkheidsschades
aanvalsmethodes;aanvalsmethoden
aanvalswapenen;aanvalswapens
aanvliegrouten;aanvliegroutes
aanwezigheidssensors;aanwezigheidssensoren
aanwijzingetje;aanwijzinkje
aapsoort;apensoort
aardamandels;aardamandelen
aardebruinkleurig;aardebruin
aardenwerken;aardewerken
aardepen;aardpen
aardewegjes;aardeweggetjes
aardlekschakelaren;aardlekschakelaars
aardrijkskundeleraars;aardrijkskundeleraren
aartsdiakenen;aartsdiakens
aartsvaderen;aartsvaders
abductors;abductoren
abonnementshouder;abonnementhouder
abonnementshouders;abonnementhouders
abortusmethodes;abortusmethoden
absides;absiden
absorbering;absorptie
absorptiespectrums;absorptiespectra
absorptiewaardes;absorptiewaarden
academiën;academies
acanthusbladen;acanthusbladeren
acceleratoren;accelerators
acceptatietests;acceptatietesten
acceptering;acceptatie
accessoiren;accessoires
accijnsaangiftes;accijnsaangiften
accijnzencontrole;accijnscontrole
accijnzenstelsel;accijnsstelsel
accoladen;accolades
accreditering;accreditatie
accrediteringen;accreditaties
accumulators;accumulatoren
accuruimtes;accuruimten
achterbladeren;achterbladen
achtergrondgedachtes;achtergrondgedachten
achtergrondgehaltes;achtergrondgehalten
achtergrondwaardes;achtergrondwaarden
achterlieden;achtermannen
achterpadje;achterpaadje
achterpadjes;achterpaadjes
achterportiers;achterportieren
achterstandwijk;achterstandswijk
achterstandwijken;achterstandswijken
achterstes;achtersten
achterwegje;achterweggetje
achterzijdes;achterzijden
actiedatums;actiedata
actiegedeeltes;actiegedeelten
actiemailingen;actiemailings
actiemechanismes;actiemechanismen
actiemethodes;actiemethoden
actieperioden;actieperiodes
actiespelen;actiespellen
actiewaardes;actiewaarden
activeringen;activaties
actuators;actuatoren
adagiums;adagia
adamsappelen;adamsappels
addendums;addenda
adderen;adders
adderengebroed;addergebroed
addictie;verslaving
adductors;adductoren
adelaarsvleugelen;adelaarsvleugels
adelaren;adelaars
adempauzen;adempauzes
ademruimten;ademruimtes
adjudants;adjudanten
adjunct-directeurs;adjunct-directeuren
adjunct-hoofdredacteurs;adjunct-hoofdredacteuren
administrateuren;administrateurs
administratieruimtes;administratieruimten
administratoren;administrators
admiralen;admiraals
adressants;adressanten
adressenbalk;adresbalk
adressenblok;adresblok
adressenboek;adresboek
adressenmateriaal;adresmateriaal
adressenreeks;adresreeks
adressensysteem;adressysteem
adressenwijzer;adreswijzer
adventen;advents
adventkalenders;adventskalenders
adventtijd;adventstijd
advertentiebladeren;advertentiebladen
advertentiewaardes;advertentiewaarden
adviesbehoeftes;adviesbehoeften
adviesdatums;adviesdata
adviesmethoden;adviesmethodes
advieswaardes;advieswaarden
adviezenlijst;advieslijst
advocatenkeuze;advocaatkeuze
aerosols;aerosolen
afbeeldingetje;afbeeldinkje
afbeeldingstypes;afbeeldingstypen
afdalingetje;afdalinkje
afdalingetjes;afdalinkjes
afdekstrippen;afdekstrips
afdelingetje;afdelinkje
afdelingssecretaressen;afdelingssecretaresses
afdichtstrippen;afdichtstrips
afdrachtenkorting;afdrachtkorting
afdrachtenregeling;afdrachtregeling
afdrachtsregeling;afdrachtregeling
afdrachtsregelingen;afdrachtregelingen
afdrachtsvermindering;afdrachtvermindering
afdrachtsverminderingen;afdrachtverminderingen
afhaalcentrums;afhaalcentra
afhaaldatums;afhaaldata
afkapwaardes;afkapwaarden
afkickverschijnsels;afkickverschijnselen
afkoopwaardes;afkoopwaarden
afleidingetje;afleidinkje
afleverbons;afleverbonnen
afleveringsbons;afleveringsbonnen
afleverinkje;afleveringetje
afloopdatums;afloopdata
afnamedatums;afnamedata
afperspraktijken;afpersingspraktijken
afreisdatums;afreisdata
afrekenmechanismes;afrekenmechanismen
afscheidsreden;afscheidsredes
afschotten;afschoten
afschrikkingbeleid;afschrikkingsbeleid
afschrikkingeffect;afschrikkingseffect
afschrikkingmiddel;afschrikkingsmiddel
afschrikkingstrategie;afschrikkingsstrategie
afsluitmechanismes;afsluitmechanismen
afsprakenbevestiging;afspraakbevestiging
afstandbedieningen;afstandsbedieningen
afstandmetingen;afstandsmetingen
